DateID,Start_date,Start_year,Start_month,Start_weekday,Start_day,End_date,End_year,End_month,End_weekday,End_day
DA0,2022-11-04,2022,11,4,4,2023-03-01,2023,3,2,1
DA1,2023-03-02,2023,3,3,2,2023-03-03,2023,3,4,3
DA2,2023-03-06,2023,3,0,6,2023-03-08,2023,3,2,8
DA3,2023-03-09,2023,3,3,9,2023-03-11,2023,3,5,11
DA4,2023-02-18,2023,2,5,18,2023-03-05,2023,3,6,5
DA5,2023-02-25,2023,2,5,25,2023-03-07,2023,3,1,7
DA6,2023-02-27,2023,2,0,27,2023-03-13,2023,3,0,13
DA7,2023-02-23,2023,2,3,23,2023-03-07,2023,3,1,7
DA8,2023-03-14,2023,3,1,14,2023-03-15,2023,3,2,15
DA9,2023-03-10,2023,3,4,10,2023-03-17,2023,3,4,17
DA10,2023-02-20,2023,2,0,20,2023-03-01,2023,3,2,1
DA11,2023-03-04,2023,3,5,4,2023-03-18,2023,3,5,18
DA12,2023-02-14,2023,2,1,14,2023-03-10,2023,3,4,10
DA13,2023-03-03,2023,3,4,3,2023-03-14,2023,3,1,14
DA14,2021-03-22,2021,3,0,22,2021-03-23,2021,3,1,23
DA15,2021-03-23,2021,3,1,23,2021-03-23,2021,3,1,23
DA16,2021-03-15,2021,3,0,15,2021-03-25,2021,3,3,25
DA17,2021-03-25,2021,3,3,25,2021-03-25,2021,3,3,25
DA18,2021-03-26,2021,3,4,26,2021-03-26,2021,3,4,26
DA19,2021-03-25,2021,3,3,25,2021-03-28,2021,3,6,28
DA20,2021-03-27,2021,3,5,27,2021-03-27,2021,3,5,27
DA21,2023-02-24,2023,2,4,24,2023-03-15,2023,3,2,15
DA22,2021-03-25,2021,3,3,25,2021-03-30,2021,3,1,30
DA23,2021-03-31,2021,3,2,31,2021-03-31,2021,3,2,31
DA24,2021-03-22,2021,3,0,22,2021-03-24,2021,3,2,24
DA25,2021-03-22,2021,3,0,22,2021-03-31,2021,3,2,31
DA26,2021-03-30,2021,3,1,30,2021-03-30,2021,3,1,30
DA27,2021-03-30,2021,3,1,30,2021-04-02,2021,4,4,2
DA28,2021-03-31,2021,3,2,31,2021-04-03,2021,4,5,3
DA29,2021-04-01,2021,4,3,1,2021-04-04,2021,4,6,4
DA30,2021-04-06,2021,4,1,6,2021-04-06,2021,4,1,6
