PlatformID,Platform
PLAT0,Polkadot
PLAT1,Binance Chain
PLAT2,Ethereum
PLAT3,Solana
PLAT4,Own blockchain
PLAT5,NEAR Blockchain
PLAT6,Tezos
PLAT7,Polygon
PLAT8,Kusama
PLAT9,Flow
PLAT10,IoTeX Network
PLAT11,HECO
PLAT12,Elrond Network
PLAT13,Algorand
PLAT14,Cosmos Network
PLAT15,NEO Blockchain
PLAT16,ICON
PLAT17,NEM Blockchain
PLAT18,Nostr Protocol
PLAT19,WaykiChain
PLAT20,EOS
PLAT21,Tron
PLAT22,Ontology
PLAT23,Harmony Blockchain
PLAT24,Stellar
PLAT25,IOST Blockchain
PLAT26,WanChain
PLAT27,Fusion Chain
PLAT28,RioChain
PLAT29,RSK Blockchain
