ico_id,date_id,project_id,platform_id,category_id,token_role_id,raised_usd,ico_price,fundraise_goal,total_token,sold
ICO0,DA0,PRO0,PLAT0,CAT0,TR0,6600000,,,1000000000,15.6
ICO1,DA39,PRO46,PLAT0,CAT0,TR0,240000,0.25,240000,,
ICO2,DA309,PRO367,PLAT0,CAT0,TR0,6600000,0.36,28800000,1000000000,
ICO3,DA309,PRO368,PLAT2,CAT2,TR0,5500000,0.01,200000,10000000000,
ICO4,DA309,PRO369,PLAT1,CAT4,TR0,1810000,0.16,50000,100000000,
ICO5,DA1099,PRO1220,PLAT0,CAT0,TR0,1020000,0.15,125000,,
ICO6,DA1179,PRO1305,PLAT0,CAT0,TR0,22860000,0.06,,,5
ICO7,DA1179,PRO1311,PLAT2,CAT2,TR0,8300000,0.12,300000,400000000,32
ICO8,DA1180,PRO1306,PLAT0,CAT0,TR0,100000,0.05,100000,100000000,
ICO9,DA69,PRO84,PLAT1,CAT0,TR0,500000,0.1,500000,100000000,42
ICO10,DA69,PRO87,PLAT2,CAT2,TR0,1910000,,95000,10000000000,
ICO11,DA127,PRO160,PLAT1,CAT0,TR0,2000000,0.1,250000,,47.05
ICO12,DA127,PRO161,PLAT2,CAT3,TR0,3650000,0.2,150000,,
ICO13,DA251,PRO301,PLAT1,CAT0,TR0,27420000,0.1,30000000,3000000000,10
ICO14,DA1002,PRO1116,PLAT1,CAT0,TR0,6100000,0,,10000000000,40
ICO15,DA1002,PRO1117,PLAT2,CAT1,TR0,6030000,0,,6000000000,13
ICO16,DA1081,PRO1201,PLAT1,CAT0,TR0,560000,0.03,560000,1000000000,
ICO17,DA1150,PRO1273,PLAT1,CAT0,TR0,,,,200000000,
ICO18,DA1204,PRO1332,PLAT1,CAT0,TR0,3000000,20,3000000,,
ICO19,DA1204,PRO1331,PLAT2,CAT2,TR1,1350000,0.12,150000,120000000,1
ICO20,DA5,PRO5,PLAT2,CAT0,TR0,1700000,0.03,900000,470000000,14.9
ICO21,DA17,PRO17,PLAT2,CAT0,TR0,2300000,0.01,,10000000000,15
ICO22,DA17,PRO22,PLAT2,CAT1,TR0,970000,0.05,81250,65000000,35
ICO23,DA18,PRO19,PLAT2,CAT0,TR0,500000,,,,
ICO24,DA22,PRO24,PLAT2,CAT0,TR0,3000000,,,,
ICO25,DA24,PRO26,PLAT2,CAT0,TR0,4000000,0.3,3990000,,
ICO26,DA26,PRO28,PLAT2,CAT0,TR0,2600000,0.17,,100000000,
ICO27,DA23,PRO30,PLAT2,CAT0,TR0,130000,0.03,,10000000000,
ICO28,DA23,PRO33,PLAT4,CAT0,TR0,450000,0.45,450000,,
ICO29,DA23,PRO25,PLAT2,CAT2,TR0,90000,0.4,,10000000,
ICO30,DA23,PRO43,PLAT2,CAT2,TR0,3040000,0.04,160000,400000000,
ICO31,DA33,PRO39,PLAT2,CAT0,TR0,37600000,4.3,25800000,200000000,3
ICO32,DA37,PRO44,PLAT2,CAT0,TR0,1410000,0.12,100000,100000000,
ICO33,DA37,PRO50,PLAT4,CAT0,TR0,48150000,0.25,18750000,,28
ICO34,DA50,PRO62,PLAT2,CAT0,TR0,600000,0.06,600000,,
ICO35,DA52,PRO64,PLAT2,CAT0,TR0,2500000,0.03,,500000000,20
ICO36,DA54,PRO66,PLAT2,CAT0,TR0,2400000,0.5,1000000,100000000,
ICO37,DA56,PRO68,PLAT2,CAT0,TR0,3580000,0.25,325000,100000000,
ICO38,DA56,PRO72,PLAT2,CAT2,TR0,,0.12,,,
ICO39,DA58,PRO70,PLAT2,CAT0,TR0,70000,0.05,70000,100000000,7
ICO40,DA67,PRO82,PLAT2,CAT0,TR0,11000000,17.09,,,
ICO41,DA70,PRO86,PLAT2,CAT0,TR0,5200000,2.93,5200750,100000000,
ICO42,DA74,PRO91,PLAT2,CAT0,TR0,4700000,,,,
ICO43,DA80,PRO99,PLAT2,CAT0,TR0,3000000,1,,100000000,
ICO44,DA84,PRO111,PLAT2,CAT0,TR0,1510000,0.05,507600,182000000,
ICO45,DA84,PRO106,PLAT2,CAT1,TR0,2250000,,,100000000,20
ICO46,DA84,PRO110,PLAT2,CAT2,TR0,4550000,,,200000000,30
ICO47,DA90,PRO114,PLAT2,CAT0,TR0,75000,0.5,75000,100000000,
ICO48,DA101,PRO129,PLAT2,CAT0,TR0,200000,0.2,200000,100000000,21
ICO49,DA108,PRO138,PLAT2,CAT0,TR0,59750000,15,73125000,64999723,7.5
ICO50,DA113,PRO143,PLAT2,CAT0,TR0,1500000,0.3,250000,100000000,
ICO51,DA116,PRO146,PLAT2,CAT0,TR0,1500000,0.25,200000,50000000,
ICO52,DA116,PRO147,PLAT2,CAT1,TR0,8500000,2,500000,,
ICO53,DA118,PRO149,PLAT2,CAT0,TR0,450000,0.15,450000,150000000,33
ICO54,DA119,PRO151,PLAT2,CAT0,TR0,1500000,0.25,160000,100000000,16
ICO55,DA120,PRO152,PLAT2,CAT0,TR0,240000,,,150000000,
ICO56,DA141,PRO176,PLAT2,CAT0,TR0,3400000,1,40000000,1000000000,15
