project_id,project,description,ticker
PRO0,Manta Network Crowdloan,Manta Network is the plug-and-play privacy-preservation protocol built to service the entire DeFi stack.,MANTA
PRO1,HALO,HALO cooperates with the Decemberentralized 3D artist community to realize the value exchange with the real world through the original economic system and brand effect. Users use the HALO avatar to enter the Metaverse,HALO
PRO2,Mizar,Mizar is a next-gen trading platform where traders can search for strategies to securely allocate capital or get access to a wide range of trading tools to put their assets in motion.,MZR
PRO3,G4AL,"The G4AL Platform is the easiest and fastest approach for developers who want to experiment with Web3, enabling the addition of blockchain features to their games in a few minutes without any Web3 knowledge.",GGT
PRO4,SHELTERZ,SHELTERZ is an accommodation booking service with full refunds.,TERZ
PRO5,Dsync,"DSYNC is a Decemberentralized multi-chain protocol that accelerates contributions to projects using token-funded micro-tasks, gamifying productivity by tokenizing work with a borderless contribution ecosystem.",DSYNC
PRO6,Your Open Metaverse,"YOM is the distributed metaverse infrastructure that empowers you to stream epic interoperable metaverse experiences from your site, to anyone on any device.​",YOM
PRO7,CryptoGPT,CryptoGPT is the ZK Layer-2 Blockchain that lets you own the monetisation of your AI data.,GPT
PRO8,Staika,Staika is the integrated digital asset management platform.,STIK
PRO9,dAngel Fund,"Investment fund with an incubator and launchpad platform explicitly designed for the Near Ecosystem, providing an efficient, safe, and reliable platform for Decemberentralized financing for exciting and visionary projects.",dAngel
PRO10,PARMA Fan Token,PARMA Fan token is a cryptocurrency with the aim of revolutionizing sport fan engagement through inNovemberative and exclusive experiences.,PARMA
PRO11,OpiPets,"OpiPets is a free-to-play, Play-&-Earn economy-based, pet battling game that rewards players with cryptocurrency.",OPIP
PRO12,Exorde,Exorde is the web3 protocol that empowers developers to scrape and link all public data on the web.,EXD
PRO13,PodFast,PodFast uses AI to sumMarchize podcasts into concise audio/visual sumMarchies and automate content distribution across all major platforms.,FAST
PRO14,Cash Tech,"Cash Tech is DeFi as it is meant to be. Digital currency conversion, payments, staking, and lending.",CATE
PRO15,StoneDefi,StoneDefi is a Decemberentralized protocol for Yield Maximization.,STN
PRO16,Prosper,"Pooler is a short-term non-custodial prediction and hedging platform based on the Binance SMarcht Chain. Pooler allows confident traders to maximize their profits by participating in 1, 4 or 24 hour pools.",PROS
PRO17,Convergence,Convergence is a Decemberentralized interchangeable assets protocol.,CONV
PRO18,ImpulseVen,ImpulseVen is an all-round DeFi ecosystem that offers a range of DeFi solutions in one package.,VEN
PRO19,Shyft Network,"Shyft Network is a public blockchain protocol designed to aggregate and embed trust and validation into data stored on public and private ecosystems, and permissioned and permissionless networks. By facilitating bridging across siloed datasets, Shyft allows for layering of context on top of data, ultimately turning raw data into meaningful information.",SHFT
PRO20,Tidal Finance,"TIDAL is a Balancer-like insurance Marchket built upon Polkadot that allows users to create custom insurance pools for one or more assets. By rewarding pool creators with a portion of the return from their deposits, the maximization of capital efficiency attracts LP’s, while the offering of a competitive insurance premium attracts buyers.",TIL
PRO21,Mute,"Mute is a zkRollup-based DEX with limit orders, farming platform, and bond platform built on Ethereum and zkSync",MUTE
PRO22,Ethbox,Ethbox provides a unique solution to a problem in cryptocurency trading that is as devastating as it is widespread. ethbox provides a sMarcht contract based digital escrow service to completely aleviate any risk of loss while sending cryptocurency.,EBOX
PRO23,Degen Zoo,Degen Zoo is Building an NFT Game in 30 days. All profits go to endangered animal charities.,DZOO
PRO24,Polkaswitch,Polkaswitch is a Decemberentralized cross-chain liquidity protocol powering the future of global finance and crypto asset exchange. We are a community driven project that strives to provide the crypto ecosystem with Interoperability and Cross-Chain Liquidity.,
PRO25,Polkamon,Polkamon are exquisitely animated digital collectibles created using blockchain technology.,PMON
PRO26,Xend Finance,"Xend Finance (XF) is a Decemberentralized Credit Union protocol built to optimize, improve and add value to the core operations of credit unions globally. The Xend Finance protocol is Decemberentralizing savings, lending, borrowing and investment operations of credit unions as well as providing multi-level interest returns to members of these unions.",XEND
PRO27,Deeper Network,"Deeper Network represents the Decemberentralized blockchain network for building a truly private, secure and fair Internet.",DPR
PRO28,UnMarchshal,"UnMarchshal is a Chain-Agnostic blockchain protocol consisting of a network of blockchain indexes to curate customizable data for DeFi applications. Synergistically built with the support of Binance SMarcht Chain, Polkadot Network and Solana, UnMarchshal intends to revitalize data collection, distribution, and interpretation to propel the DeFi economy.",MarchSH
PRO29,Illuvium,"Welcome to Illuvium - a strange, striking land that hides many secrets. Telemetry showed no planet in the habitable zone of this system, and yet here you are, crashed and deserted.",ILV
PRO30,Cook Protocol,Cook Protocol is a completely Decemberentralized asset management platform in the DeFi space built on top of the Ethereum blockchain.,COOK
PRO31,Fei Protocol,A direct incentive stablecoin which is undercollateralized and fully Decemberentralized,Tribe / Fei (Stable)
PRO32,Rally,"Rally is an open platform built on Ethereum that empowers creators, celebrities, and brands to launch their own social tokens, also known as Creator Coins.",RLY
PRO33,Persistence,"Persistence is a Tendermint-based, specialised Layer-1 network powering an ecosystem of DeFi applications focused on unlocking the liquidity of staked assets.",XPRT
